restaurant_name,location,city,cuisines,average_cost_for_two,aggregate_rating,votes,restaurant_type,online_order,book_table
Fog City Cafe,Indiranagar,Old Airport Road,"italian, fast food, burger",500.0,0.0,0,Cafe,Yes,No
BJ Bhavan Veg Restaurants,Electronic City,Electronic City,"south indian, north indian, chinese",350.0,0.0,0,Quick Bites,No,No
Naati Kitchen,Electronic City,Electronic City,"kerala, south indian",300.0,0.0,0,Quick Bites,No,No
Paris Restaurant,Electronic City,Electronic City,north indian,350.0,0.0,0,Quick Bites,No,No
Floweraura,Whitefield,Brookefield,bakery,600.0,0.0,0,"Takeaway, Delivery",No,No
Sai Charan Tiffin House,Whitefield,Brookefield,south indian,150.0,0.0,0,Quick Bites,No,No
Creamiester,Whitefield,Brookefield,"ice cream, desserts",300.0,0.0,0,Dessert Parlor,No,No
Grand Kudla Family Restaurant,Electronic City,Electronic City,"south indian, north indian, chinese",300.0,0.0,0,Quick Bites,No,No
TRS Family Restaurant,Electronic City,Electronic City,"south indian, andhra",150.0,0.0,0,Quick Bites,No,No
Sona's Kitchen,Bellandur,Bellandur,north indian,300.0,0.0,0,"Takeaway, Delivery",No,No
La Mirch,Bellandur,Bellandur,"north indian, kashmiri",400.0,0.0,0,Delivery,No,No
Mumichi,Bellandur,Bellandur,north indian,150.0,0.0,0,Delivery,No,No
Sri Kathyayani Upahar,Electronic City,Electronic City,south indian,250.0,0.0,0,Quick Bites,No,No
Sri Ragavendhra Upahar,Electronic City,Electronic City,south indian,200.0,0.0,0,Quick Bites,No,No
A-1 Fast Food,Electronic City,Electronic City,fast food,100.0,0.0,0,Quick Bites,No,No
Shakes365,Whitefield,Brookefield,beverages,300.0,0.0,0,Beverage Shop,No,No
Nawab Di Biryani,Whitefield,Brookefield,"biryani, mughlai",400.0,0.0,0,"Takeaway, Delivery",Yes,No
Shiv sagar,Whitefield,Brookefield,"south indian, street food, north indian",250.0,0.0,0,Quick Bites,No,No
PK Dhaba,Marathahalli,Brookefield,"north indian, fast food, beverages",250.0,0.0,0,Dhaba,Yes,No
Arzak,"Varthur Main Road, Whitefield",Brookefield,"arabian, middle eastern, rolls, seafood, bbq",300.0,0.0,0,"Takeaway, Delivery",No,No
